Marca temporal,Grupo que está encuestando,Nombre del encuestador,Indica tu género,¿Cuál es tu edad?,¿Cuál es tu peso (en kg)?,¿Cuál es tu estatura (en cm)?,¿En qué carrera estabas matriculado(a) durante el ciclo 2025-2? ,¿En qué ciclo te encuentras actualmente?,¿En cuántos cursos te matriculaste (independientemente de si te retiraste o no) en total durante el 2025-2?,¿Cuántos de esos cursos aprobaste al finalizar el 2025-2?,"¿Cuál fue tu promedio ponderado en el ciclo 2025-2?
Lo puedes ubicar en el sist. académico -> currícula -> mi avance académico -> historial académico","¿Cuál fue tu Ranking en el ciclo 2025-2?
Lo puedes ubicar en el sist. académico -> currícula -> mi avance académico -> historial académico","Aproximadamente, Durante el ciclo 2025-2  ¿Cuántas horas a la semana dedicaste a realizar actividad física?",Durante el ciclo 2025-2  ¿Qué tipo de actividad física o deporte principal realizaste?,¿Dónde realizas principalmente la actividad física?,"Durante el ciclo 2025-2, ¿tus entrenamientos fueron principalmente de tipo individual o colectivo? ",¿Cuántos días a la semana realizaste actividad física en el 2025-2?,"Durante tus sesiones de actividad física en ese ciclo, ¿Cuál fue tu nivel de intensidad física predominante?","Durante el 2025-2, ¿Tu horario de entrenamiento fue principalmente en la: Mañana / Tarde / Noche?",Durante el ciclo 2025-2  ¿Cómo calificarías tu nivel de disciplina o constancia para realizar actividad física?,Durante el ciclo 2025-2  ¿Cuántas horas a la semana sumaban tus clases programadas?,"Aproximadamente, durante el ciclo 2025-2  ¿Cuántas horas a la semana dedicaste al estudio autónomo y realización de tareas (fuera del horario de clases)?","Durante el 2025-II, ¿cuál fue tu nivel de concentración al estudiar?",¿Qué suplementos dietéticos consumías de forma regular? (marca todas las opciones que correspondan)  ,"Durante el ciclo 2025-2, ¿cuántas veces al día ingerías alimentos? (incluye comidas principales y snacks; p. ej., desayuno, snack, almuerzo, cena = 4)  ",Durante el ciclo 2025-2 ¿Llevaste algún tipo de alimentación o dieta específica? ,"Durante el ciclo 2025-2, ¿cuántas horas dormías por noche en promedio?  ",¿Cómo calificarías tu calidad de sueño durante el periodo 2025-2?,Durante el periodo 2025-2  ¿Cómo describirías tu nivel de estrés académico?,Durante el ciclo 2025-2  ¿Qué tan cansado te llegaste a sentir?
21/4/2026 23:18:00,Grupo 8,"Castillo Castro, Rafael Adrián",Femenino,19,64,163,Sistemas de la Información,4,6,5,14,Tercio,1,"Entrenamiento en casa (Calistenia, Yoga, rutinas por video)",En casa,Individual,2,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Tarde,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",24,10,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,3,Ninguna en especial,7,Regular,Moderado,Alto
21/4/2026 23:23:16,Grupo 1,"FÉLIX MEDINA, ADRIÁN FERNANDO",Masculino,18,70,170,Ingeniería Mecatrónica,3,6,6,14.45,Tercio medio,5,"Deportes aeróbicos (Correr, Nadar, Ciclismo)",En casa,Individual,1,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Tarde,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",15,6,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Bebidas rehidratantes,4,Ninguna en especial,7,Regular,Moderado,Alto
21/4/2026 23:23:47,Grupo 8,"Castillo Castro, Rafael Adrián",Masculino,20,83,180,Ciencias de la Computación,4,6,6,17,Quinto,8,Caminar de regreso a casa,Otros,Individual,5,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Tarde,Alta: Mantuve mi rutina de manera estricta y constante todo el ciclo.,20,2,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,4,Ninguna en especial,8,Regular,Bajo,Bajo
21/4/2026 23:28:01,Grupo 4,"Obregon Carhuavilca, Alondra Solange",Femenino,18,73,1.6,Ingeniería Mecánica,3,6,6,15.75,Tercio,0,No realizo actividad fisica,,,,,,,8,6,Alto: Mantengo la concentración durante la mayor parte del tiempo sin distracciones significativas.,Ninguno,3,Ninguna en especial,7,Mala,Alto,Alto
21/4/2026 23:35:06,Grupo 8,"Castillo Castro, Rafael Adrián",Femenino,19,59,1.62,Ingeniería Ambiental,5,5,5,13,Tercio inferior,0,No realizo actividad fisica,,,,,,,10,8,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,4,Ninguna en especial,9,Regular,Moderado,Moderado
21/4/2026 23:51:10,Grupo 4,"Obregon Carhuavilca, Alondra Solange",Femenino,18,64,150,Bioingeniería,3,7,7,18,Décimo,0,No realizo actividad fisica,,,,,,,30,5,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Bebidas energéticas,4,Ninguna en especial,4,Muy mala,Alto,Muy alto
22/4/2026 0:00:43,Grupo 8,"Castillo Castro, Rafael Adrián",Masculino,19,82,178,Ciencias de la Computación,2,5,5,13,Quinto,2,Gimnasio / Levantamiento de pesas,En gimnasio,Individual,3,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Tarde,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",42,2,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,3,Ninguna en especial,7,Regular,Moderado,Moderado
22/4/2026 0:02:57,Grupo 4,"Obregon Carhuavilca, Alondra Solange",Masculino,18,58,163,Ciencia de Datos,3,7,8,17.5,Tercio,4,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)","En espacios públicos (parques, canchas, piscinas, etc.)",Colectiva,2,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Tarde,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",32,15,Alto: Mantengo la concentración durante la mayor parte del tiempo sin distracciones significativas.,"Bebidas energéticas, Bebidas rehidratantes, Multivitamínicos y Minerales",3,Ninguna en especial,6,Regular,Alto,Moderado
22/4/2026 0:20:09,Grupo 9,"Heredia Quispe, Gianella Alessandra",Masculino,22,73,1.7,Ingeniería Mecánica,4,6,6,16.74,Tercio,8,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)","En espacios públicos (parques, canchas, piscinas, etc.)",Colectiva,4,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Tarde,Alta: Mantuve mi rutina de manera estricta y constante todo el ciclo.,6,10,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,4,Ninguna en especial,7,Buena,Moderado,Bajo
22/4/2026 0:25:38,Grupo 9,"Heredia Quispe, Gianella Alessandra",Femenino,20,71,164,Ingeniería Mecatrónica,6,7,7,15.4,Quinto,6,No realizo actividad fisica,,,,,,,30,15,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,3,Ninguna en especial,6,Buena,Moderado,Alto
22/4/2026 0:26:50,Grupo 9,"Heredia Quispe, Gianella Alessandra",Masculino,18,77,183,Ingeniería Industrial,2,6,6,16.4,Tercio medio,7,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)",Otros,Colectiva,4,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Noche,Alta: Mantuve mi rutina de manera estricta y constante todo el ciclo.,23,21,Alto: Mantengo la concentración durante la mayor parte del tiempo sin distracciones significativas.,Bebidas rehidratantes,1,Ninguna en especial,7,Regular,Bajo,Bajo
22/4/2026 0:36:23,Grupo 9,"Heredia Quispe, Gianella Alessandra",Femenino,21,50,1.5,Ingeniería Ambiental,7,6,6,13,Tercio medio,4,"Deportes aeróbicos (Correr, Nadar, Ciclismo)","En espacios públicos (parques, canchas, piscinas, etc.)",Individual,1,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Mañana,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",20,24,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,5,Ninguna en especial,6,Mala,Moderado,Alto
22/4/2026 0:37:28,Grupo 4,"Obregon Carhuavilca, Alondra Solange",Masculino,21,85,170,Ingeniería Civil,9,7,7,18.36,Décimo,1,No realizo actividad fisica,,,,,,,28,20,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,3,Ninguna en especial,5,Regular,Alto,Alto
22/4/2026 0:59:28,Grupo 8,"Castillo Castro, Rafael Adrián",Femenino,18,64,162,Ciencias de la Computación,2,6,6,15.35,Tercio,2,"Entrenamiento en casa (Calistenia, Yoga, rutinas por video)",En casa,Individual,2,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Noche,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",25,10,Bajo: Me distraigo con facilidad y me cuesta mantener la atención durante el estudio.,Ninguno,5,Vegetariana,7,Regular,Moderado,Alto
22/4/2026 1:01:51,Grupo 9,"Heredia Quispe, Gianella Alessandra",Femenino,24,89,160,Ingeniería Industrial,9,5,3,11.4,Tercio inferior,0,No realizo actividad fisica,,,,,,,9,3,Bajo: Me distraigo con facilidad y me cuesta mantener la atención durante el estudio.,Ninguno,2,Ninguna en especial,5,Regular,Alto,Alto
22/4/2026 1:03:33,Grupo 9,"Heredia Quispe, Gianella Alessandra",Masculino,19,91,1.74,Ingeniería Mecatrónica,5,6,6,16.4,Décimo,4,Gimnasio / Levantamiento de pesas,En gimnasio,Individual,2,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Noche,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",21,10,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.","Bebidas energéticas, Creatina",4,Ninguna en especial,6,Regular,Bajo,Bajo
22/4/2026 1:40:55,Grupo 2,"Manrique Romero, Oriana Manuela Fe",Masculino,20,63,174,Ingeniería Mecatrónica,3,7,6,14.11,Tercio medio,9,badminton y gym,Otros,Colectiva,3,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Tarde,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",22,18,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.","Bebidas energéticas, Bebidas rehidratantes, Multivitamínicos y Minerales, Proteína en polvo (Whey, Vegana, Caseína)",6,Ninguna en especial,6,Regular,Moderado,Bajo
22/4/2026 1:48:10,Grupo 9,"Heredia Quispe, Gianella Alessandra",Masculino,20,60,1.6,Ingeniería Mecánica,2,4,2,9.86,Tercio,0,No realizo actividad fisica,,,,,,,17,10,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Bebidas energéticas,4,Ninguna en especial,8,Regular,Moderado,Moderado
22/4/2026 2:13:21,Grupo 2,"Manrique Romero, Oriana Manuela Fe",Femenino,19,60,165,Ciencias de la Computación,2,6,6,16.35,Quinto,6,Gimnasio / Levantamiento de pesas,En gimnasio,Individual,5,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Mañana,Alta: Mantuve mi rutina de manera estricta y constante todo el ciclo.,15,5,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.","Bebidas energéticas, Multivitamínicos y Minerales, Proteína en polvo (Whey, Vegana, Caseína)",5,Ninguna en especial,7,Regular,Moderado,Moderado
22/4/2026 4:29:05,Grupo 8,"Castillo Castro, Rafael Adrián",Femenino,17,46,154,Ciencias de la Computación,3,5,4,13.7,Décimo,7,"Deportes aeróbicos (Correr, Nadar, Ciclismo)","En espacios públicos (parques, canchas, piscinas, etc.)",Colectiva,4,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Mañana,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",20,10,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.","Bebidas energéticas, Bebidas rehidratantes, Multivitamínicos y Minerales, Proteína en polvo (Whey, Vegana, Caseína)",4,Alta en proteínas,5,Muy mala,Alto,Muy alto
22/4/2026 6:00:30,Grupo 5,"Arica Reyes, Ady Gabriela",Femenino,20,62,1.63,Ciencia de Datos,4,5,5,13.8,Tercio,3,"Entrenamiento en casa (Calistenia, Yoga, rutinas por video)",En casa,Individual,2,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Noche,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",29,28,Bajo: Me distraigo con facilidad y me cuesta mantener la atención durante el estudio.,Bebidas energéticas,4,Ninguna en especial,6,Regular,Muy alto,Muy alto
22/4/2026 6:12:34,Grupo 9,"Heredia Quispe, Gianella Alessandra",Masculino,19,68,174,Ingeniería Industrial,2,6,6,14.75,Tercio,6,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)","En espacios públicos (parques, canchas, piscinas, etc.)",Individual,6,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Noche,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",26,12,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,4,Ninguna en especial,6,Regular,Bajo,Bajo
22/4/2026 6:45:02,Grupo 6,"Vargas Saravia, Daniela Alessandra",Masculino,20,77,1.75,Ingeniería Mecatrónica,3,7,5,13.27,Tercio medio,4,Gimnasio / Levantamiento de pesas,En casa,Individual,2,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Noche,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",17,10,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,4,Ninguna en especial,5,Mala,Moderado,Alto
22/4/2026 6:48:12,Grupo 9,"Heredia Quispe, Gianella Alessandra",Masculino,24,72,175,Ciencia de Datos,5,5,5,15,Quinto,7,"Entrenamiento en casa (Calistenia, Yoga, rutinas por video)",En gimnasio,Colectiva,6,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Mañana,Alta: Mantuve mi rutina de manera estricta y constante todo el ciclo.,28,16,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Multivitamínicos y Minerales,5,Ninguna en especial,6,Regular,Moderado,Alto
22/4/2026 7:01:48,Grupo 9,"Heredia Quispe, Gianella Alessandra",Masculino,18,68,169,Ingeniería Electrónica,2,7,7,16,Tercio inferior,5,"Deportes aeróbicos (Correr, Nadar, Ciclismo)","En espacios públicos (parques, canchas, piscinas, etc.)",Individual,5,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Mañana,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",30,14,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,3,Ninguna en especial,7,Regular,Moderado,Bajo
22/4/2026 7:08:19,Grupo 8,"Castillo Castro, Rafael Adrián",Masculino,20,72.5,172,Sistemas de la Información,4,4,3,15.83,Tercio,4,Gimnasio / Levantamiento de pesas,En casa,Individual,2,Alto: Me faltaba el aliento rápido y apenas podía decir unas pocas palabras sin parar a tomar aire.,Mañana,Alta: Mantuve mi rutina de manera estricta y constante todo el ciclo.,21,33,Alto: Mantengo la concentración durante la mayor parte del tiempo sin distracciones significativas.,"Proteína en polvo (Whey, Vegana, Caseína)",3,Baja en carbohidratos,7,Buena,Moderado,Muy alto
22/4/2026 7:09:37,Grupo 4,"Obregon Carhuavilca, Alondra Solange",Masculino,18,64,1.66,Ciencias de la Computación,3,7,7,16.5,Tercio,4,Gimnasio / Levantamiento de pesas,En gimnasio,Individual,4,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Tarde,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",32,8,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.","Bebidas energéticas, Bebidas rehidratantes",4,Ninguna en especial,6,Regular,Moderado,Moderado
22/4/2026 7:19:50,Grupo 1,"FÉLIX MEDINA, ADRIÁN FERNANDO",Masculino,18,68,177,Ingeniería Mecatrónica,3,6,6,17.63,Décimo,5,Tenis,"En espacios públicos (parques, canchas, piscinas, etc.)",Colectiva,3,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Noche,Alta: Mantuve mi rutina de manera estricta y constante todo el ciclo.,23,7,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,4,Ninguna en especial,8.2,Buena,Bajo,Bajo
22/4/2026 7:22:28,Grupo 9,"Heredia Quispe, Gianella Alessandra",Masculino,20,64.8,173,Ingeniría de la Energía,2,7,7,17.05,Décimo,3,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)",En instalaciones de la universidad,Colectiva,4,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Mañana,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",27,25,Alto: Mantengo la concentración durante la mayor parte del tiempo sin distracciones significativas.,Ninguno,3,Ninguna en especial,7,Muy buena,Moderado,Alto
22/4/2026 7:24:49,Grupo 4,"Obregon Carhuavilca, Alondra Solange",Masculino,19,67,168,Ciencias de la Computación,5,5,5,15.59,Tercio,5,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)",En instalaciones de la universidad,Colectiva,4,Alto: Me faltaba el aliento rápido y apenas podía decir unas pocas palabras sin parar a tomar aire.,Mañana,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",21,4,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Multivitamínicos y Minerales,2,Lo que me ofrecía Don Mario (ceviche casi todos los días),7,Regular,Bajo,Alto
22/4/2026 7:29:37,Grupo 6,"Vargas Saravia, Daniela Alessandra",Femenino,18,57,165,Ingeniería Mecatrónica,3,6,4,11.46,Tercio inferior,0,No realizo actividad fisica,,,,,,,23,9,Bajo: Me distraigo con facilidad y me cuesta mantener la atención durante el estudio.,Bebidas energéticas,3,Ninguna en especial,6,Regular,Alto,Alto
22/4/2026 7:31:58,Grupo 5,"Arica Reyes, Ady Gabriela",Femenino,20,58,1.6,Ingeniería Mecánica,2,7,7,16,Quinto,1,"Entrenamiento en casa (Calistenia, Yoga, rutinas por video)",En casa,Individual,1,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Tarde,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",20,8,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,3,Ninguna en especial,7,Regular,Moderado,Alto
22/4/2026 7:36:50,Grupo 5,"Reyes Neyra, Mariel Azucena",Femenino,18,53,154,Sistemas de la Información,2,6,6,13,Tercio,4,Gimnasio / Levantamiento de pesas,En casa,Individual,2,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Mañana,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",6,5,Alto: Mantengo la concentración durante la mayor parte del tiempo sin distracciones significativas.,Ninguno,5,Vegana,7,Mala,Moderado,Moderado
22/4/2026 7:40:26,Grupo 1,"FÉLIX MEDINA, ADRIÁN FERNANDO",Masculino,18,65,1.82,Ingeniería Mecatrónica,3,6,4,13.05,Tercio,1,"Deportes aeróbicos (Correr, Nadar, Ciclismo)",Otros,Individual,1,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Mañana,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",18,20,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Bebidas rehidratantes,3,Ninguna en especial,6,Regular,Bajo,Alto
22/4/2026 7:42:07,Grupo 4,"Obregon Carhuavilca, Alondra Solange",Prefiero no decirlo / Otro,18,70,175,Ingeniería Civil,3,8,8,19.52,Décimo,6,Artes marciales / Deportes de contacto,En casa,Individual,6,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Noche,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",40,8,Alto: Mantengo la concentración durante la mayor parte del tiempo sin distracciones significativas.,Ninguno,3,Alta en proteínas,4,Muy buena,Bajo,Moderado
